,vpn_number,trial,condition,correct_key,key,rt,iscorrect,accuracy,error_rate
110,6,110,words,s,s,0.40879702568099996,True,0.9733333333333334,0.026666666666666616
111,6,111,words,s,s,0.399989843369,True,0.9733333333333334,0.026666666666666616
112,6,112,words,s,s,0.346964836121,True,0.9733333333333334,0.026666666666666616
113,6,113,pictures,l,l,0.44630384445200005,True,0.9733333333333334,0.026666666666666616
114,6,114,words,s,s,0.481392860413,True,0.9733333333333334,0.026666666666666616
115,6,115,pictures,l,l,0.341353178024,True,0.9733333333333334,0.026666666666666616
116,6,116,pictures,l,s,0.375859975815,False,0.9733333333333334,0.026666666666666616
117,6,117,words,s,s,0.680559873581,True,0.9733333333333334,0.026666666666666616
118,6,118,pictures,l,l,0.554286003113,True,0.9733333333333334,0.026666666666666616
119,6,119,words,s,s,0.41130208969099996,True,0.9733333333333334,0.026666666666666616
120,6,120,pictures,l,l,0.41534805297899996,True,0.9733333333333334,0.026666666666666616
121,6,121,words,s,s,0.43863797187799997,True,0.9733333333333334,0.026666666666666616
122,6,122,pictures,l,l,0.453444957733,True,0.9733333333333334,0.026666666666666616
123,6,123,words,s,s,0.46086597442599997,True,0.9733333333333334,0.026666666666666616
124,6,124,words,s,s,0.52375292778,True,0.9733333333333334,0.026666666666666616
125,6,125,pictures,l,l,0.45282506942699996,True,0.9733333333333334,0.026666666666666616
126,6,126,pictures,l,l,0.474595069885,True,0.9733333333333334,0.026666666666666616
127,6,127,pictures,l,l,0.552268981934,True,0.9733333333333334,0.026666666666666616
128,6,128,pictures,l,l,0.426326036453,True,0.9733333333333334,0.026666666666666616
129,6,129,pictures,l,l,0.455435991287,True,0.9733333333333334,0.026666666666666616
130,6,130,pictures,l,l,0.425662994385,True,0.9733333333333334,0.026666666666666616
131,6,131,words,s,s,0.470686912537,True,0.9733333333333334,0.026666666666666616
132,6,132,pictures,l,l,0.45969700813299996,True,0.9733333333333334,0.026666666666666616
133,6,133,words,s,s,0.46715593338,True,0.9733333333333334,0.026666666666666616
134,6,134,words,s,s,0.45517516136200004,True,0.9733333333333334,0.026666666666666616
135,6,135,words,s,s,0.39909601211499995,True,0.9733333333333334,0.026666666666666616
136,6,136,words,s,s,0.43192505836499995,True,0.9733333333333334,0.026666666666666616
137,6,137,pictures,l,l,0.38648796081500003,True,0.9733333333333334,0.026666666666666616
138,6,138,words,s,s,0.429224967957,True,0.9733333333333334,0.026666666666666616
139,6,139,words,s,l,0.359208106995,False,0.9733333333333334,0.026666666666666616
140,6,140,words,s,s,0.551496982574,True,0.9733333333333334,0.026666666666666616
141,6,141,pictures,l,l,0.616019010544,True,0.9733333333333334,0.026666666666666616
142,6,142,pictures,l,l,0.498393058777,True,0.9733333333333334,0.026666666666666616
143,6,143,pictures,l,l,0.585321903229,True,0.9733333333333334,0.026666666666666616
144,6,144,pictures,l,l,0.50923705101,True,0.9733333333333334,0.026666666666666616
145,6,145,words,s,s,0.495828866959,True,0.9733333333333334,0.026666666666666616
146,6,146,pictures,l,l,0.49388718605,True,0.9733333333333334,0.026666666666666616
147,6,147,pictures,l,l,0.6064991950990001,True,0.9733333333333334,0.026666666666666616
148,6,148,words,s,s,0.505416154861,True,0.9733333333333334,0.026666666666666616
149,6,149,pictures,l,l,0.44962596893299994,True,0.9733333333333334,0.026666666666666616
0,7,0,words,s,s,0.9511640071870001,True,0.9933333333333333,0.00666666666666671
1,7,1,pictures,l,l,0.764862060547,True,0.9933333333333333,0.00666666666666671
2,7,2,pictures,l,s,0.64750790596,False,0.9933333333333333,0.00666666666666671
